# file	match	order_only	both_refused	refused	diverged
advisory_lock	8	0	19	10	1
aggregates	95	0	122	203	10
alter_generic	43	0	110	179	0
alter_operator	2	0	8	23	0
alter_table	485	0	342	745	74
amutils	1	0	4	5	0
arrays	28	0	71	356	0
async	0	0	3	8	0
bit	20	0	13	82	11
bitmapops	7	0	0	1	2
boolean	27	0	11	46	11
box	23	0	0	58	6
brin	13	0	10	36	0
brin_bloom	3	0	11	24	0
brin_multi	32	0	10	43	0
btree_index	33	0	7	33	0
case	39	1	1	19	1
char	16	0	2	4	10
circle	10	0	0	6	6
cluster	89	1	15	65	23
collate.icu.utf8	30	0	50	385	26
collate.linux.utf8	0	0	4	0	0
collate	0	0	1	0	0
collate.windows.win1252	0	0	4	0	0
combocid	39	0	0	23	0
comments	4	0	3	2	0
compression	17	0	7	50	11
compression_pglz	0	0	14	0	0
constraints	103	1	58	140	14
conversion	18	0	44	3	0
copy	18	0	11	39	0
copy2	38	0	49	41	1
copydml	7	0	16	39	0
copyselect	13	0	4	3	0
create_aggregate	0	0	16	43	0
create_am	11	0	28	42	9
create_cast	1	0	2	18	3
create_function_c	0	0	4	1	0
create_function_sql	22	0	14	114	2
create_index	137	0	158	242	21
create_index_spgist	14	0	117	0	0
create_misc	10	0	0	77	1
create_operator	20	0	19	42	0
create_procedure	11	0	25	68	5
create_role	10	0	64	62	8
create_schema	4	0	15	8	0
create_table	21	0	113	184	7
create_table_like	14	0	5	34	1
create_type	3	0	34	43	5
create_view	128	0	39	115	19
database	3	0	0	13	0
date	24	0	55	185	6
dbsize	0	0	16	9	0
delete	6	0	1	2	1
dependency	9	0	25	24	4
domain	72	0	59	230	59
drop_if_exists	13	0	54	93	1
drop_operator	0	0	0	12	0
encoding	23	0	24	20	0
enum	32	0	12	101	24
equivclass	22	0	0	37	0
errors	3	0	82	1	0
euc_kr	0	0	0	2	0
event_trigger	33	0	25	115	1
explain	15	0	15	11	0
expressions	30	0	1	44	0
fast_default	114	0	0	138	12
float4	12	0	9	48	31
float8	17	0	19	99	34
foreign_data	81	0	131	323	3
foreign_key	388	0	189	489	87
functional_deps	15	0	10	11	4
generated	37	0	33	25	21
geometry	1	0	155	4	0
gin	10	0	0	42	0
gist	11	0	4	34	1
groupingsets	30	0	26	83	0
guc	55	0	5	74	80
hash_func	0	0	4	39	0
hash_index	49	0	6	19	0
hash_part	0	0	23	5	0
horology	5	0	54	205	33
identity	19	0	32	134	7
incremental_sort	38	0	0	18	18
index_including	32	0	17	57	20
index_including_gist	20	0	1	20	6
indexing	23	0	63	454	19
indirect_toast	4	0	7	17	0
inet	31	0	4	39	31
infinite_recurse	1	0	1	1	0
inherit	139	0	37	348	31
init_privs	0	0	0	4	0
insert	26	0	99	254	8
insert_conflict	78	0	33	113	10
int2	3	0	48	23	2
int4	11	0	53	26	4
int8	8	0	129	25	5
interval	28	0	153	138	22
join	248	8	130	132	6
join_hash	157	0	1	94	1
json	37	0	61	309	53
json_encoding	0	0	11	23	10
jsonb	116	0	91	681	139
jsonb_jsonpath	5	0	90	343	0
jsonpath	9	0	0	1	201
jsonpath_encoding	0	0	0	2	30
